ATOP, 7
AUFS, 5
AUKS, 6
AULD, 3
AUNE, 3
AUNT, 5
AUTO, 6
AVEL, 3
AVER, 6
AVES, 9
AVID, 4
AVOS, 7
AVOW, 5
AWDL, 4
AWED, 9
AWES, 10
AWFY, 5
AWKS, 7
AWLS, 7
AWNS, 6
AWNY, 6
AWOL, 5
AWRY, 5
AXED, 10
AXEL, 4
AXES, 11
AXIL, 6
AXIS, 6
AXLE, 6
AXON, 4
AYES, 4
AYIN, 4
AYRE, 6
AYUS, 4
AZON, 5
AZYM, 4
BACH, 1
BACK, 2
BACS, 3
BADE, 1
BADS, 1
BAEL, 2
BAFT, 2
BAGH, 3
BAGS, 3
BAHT, 2
BAHU, 3
BAIL, 4
BAIT, 3
BAJU, 5
BAKE, 2
BALD, 3
BALE, 3
BALK, 5
BALM, 6
BALS, 4
BALU, 7
BAMS, 5
BANC, 3
BAND, 3
BANE, 4
BANG, 4
BANI, 6
BANK, 6
BANS, 6
BANT, 4
BAPS, 7
BAPU, 6
BARD, 4
BARE, 5
BARF, 3
BARK, 7
BARM, 7
BARN, 7
BARP, 8
BARS, 8
BASE, 2
BASH, 4
BASK, 5
BAST, 5
BATE, 6
BATH, 5
BATS, 4
BAUD, 5
BAUK, 6
BAUR, 7
BAWD, 6
BAWL, 5
BAWN, 8
BAWR, 8
BAYE, 7
BAYS, 9
BAYT, 6
BEAD, 1
BEAK, 2
BEAM, 3
BEAN, 4
BEAR, 5
BEAT, 6
BEAU, 7
BECK, 3
BEDS, 2
BEDU, 3
BEGO, 2
BEGS, 3
BEIN, 3
BELS, 4
BELT, 5
BEMA, 3
BEND, 3
BENI, 4
BENJ, 4
BENS, 5
BENT, 6
BERG, 3
BERK, 5
BERM, 6
BEST, 5
BETA, 4
BETH, 3
BETS, 6
BEVY, 6
BEYS, 6
BHAI, 2
BHAT, 3
BHEL, 2
BHUT, 1
BIAS, 2
BICE, 4
BIDE, 3
BIDS, 3
BIEN, 2
BIER, 3
BIGA, 3
BIGS, 2
BIKE, 3
